card_id,concept,question,answer,verification_point
MC-01,몬테카를로 시뮬레이션,금융공학에서 몬테카를로 시뮬레이션을 쓰는 이유는?,"미래 가격이나 포트폴리오 가치가 하나의 값이 아니라 확률분포로 움직인다고 보고, 난수 경로를 반복 생성해 평균, 분위수, 손실확률 같은 분포 지표를 추정하기 위해서다.",결론을 기대수익률 하나로 쓰지 말고 분포 지표와 함께 적었는지 확인한다.
MC-02,GBM,로그정규 terminal value 모형에서 `mu - 0.5 sigma^2` 항이 들어가는 이유는?,가격이 로그수익률로 누적될 때 변동성의 볼록성 조정이 필요하기 때문이다. 이 항을 쓰면 산술 기대값이 mu와 일관되도록 지수변환 전 drift를 보정한다.,"수익률을 단순정규로 더한 것인지, 가격을 로그정규로 생성한 것인지 구분한다."
MC-03,난수 seed,seed를 기록해야 하는 이유는?,"같은 입력 가정에서 같은 난수열을 재생성해 결과표를 검산하고, 코드 변경 전후 차이가 모형 변화인지 난수 차이인지 분리하기 위해서다.","`seed`, `n_paths`, `horizon_days`가 입력 또는 문서에 남아 있는지 본다."
MC-04,경로 수,경로 수를 늘리면 무엇이 개선되고 무엇은 그대로인가?,"표본 평균의 Monte Carlo 오차는 줄어들지만, 잘못 둔 평균/변동성 가정 자체가 자동으로 고쳐지지는 않는다.",수렴성 점검은 표본오차 점검이지 모형 타당성 검증의 전부가 아니다.
MC-05,분위수,평균 terminal value보다 5% 분위수가 중요한 상황은?,"자본손실, VaR, 스트레스 하방 위험처럼 꼬리 손실이 의사결정의 핵심일 때다. 평균이 좋아도 하방 분위수가 나쁘면 위험 예산을 초과할 수 있다.","평균, 중앙값, 5% 분위수, 손실확률을 같이 비교한다."
MC-06,손실확률,`loss_probability`의 기준점은 무엇인가?,현재 포트폴리오 가치인 `base_value`보다 만기 가치가 낮게 끝난 경로의 비율이다.,"손실 기준이 원금, 무위험 수익률, 벤치마크 중 무엇인지 명확히 적는다."
MC-07,변동성 민감도,평균이 같고 변동성만 커지면 분포는 어떻게 바뀌는가?,"상방과 하방 꼬리가 동시에 두꺼워지고, 중앙값과 평균의 차이가 커질 수 있으며, 손실확률과 극단 분위수가 더 민감해진다.",p05-p95 폭과 IQR을 함께 확인한다.
MC-08,시간 환산,`horizon_days / 252`를 쓰는 이유는?,입력 평균과 변동성이 연율이므로 거래일 기준 투자기간을 연 단위 시간 T로 바꿔 drift와 diffusion을 같은 단위로 맞추기 위해서다.,"연율, 월율, 일율 입력을 섞지 않았는지 확인한다."
MC-09,룩어헤드 바이어스,시뮬레이션 입력 평균과 변동성을 실제 데이터에서 추정할 때 주의할 점은?,"평가 시점 이후 데이터를 입력 추정에 사용하면 미래 정보를 미리 본 것이므로, 추정 기간과 평가 기간을 시간 순서대로 분리해야 한다.","샘플 기간, 추정 창, 리밸런싱 시점을 문서에 남긴다."
MC-10,해석 한계,합성 입력 기반 결과를 투자 결론처럼 말하면 안 되는 이유는?,"합성 가정은 계산 구조를 검증하기 위한 예시이며, 실제 시장의 구조 변화, 거래비용, 유동성, 세금, 모수 불확실성을 충분히 반영하지 못하기 때문이다.",결과표 옆에 입력 가정과 한계를 같이 적는다.
